2019/03/01 21:47:10 [error] 6#6: *2 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.24.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://172.24.0.9:8001", host: "localhost:8000"
2019/03/03 07:58:07 [error] 6#6: *9 open() "/public/static/bootstrap/css/bootstrap.min.css" failed (2: No such file or directory), client: 172.24.0.1, server: 127.0.0.1, request: "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/03/03 07:58:39 [error] 6#6: *9 open() "/public/static/bootstrap/css/bootstrap.min.css" failed (2: No such file or directory), client: 172.24.0.1, server: 127.0.0.1, request: "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/03/03 07:59:49 [error] 6#6: *2 open() "/public/static/bootstrap/css/bootstrap.min.css" failed (2: No such file or directory), client: 172.24.0.1, server: 127.0.0.1, request: "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/03/03 08:00:21 [error] 6#6: *2 open() "/public/static/bootstrap/css/bootstrap.min.css" failed (2: No such file or directory), client: 172.24.0.1, server: 127.0.0.1, request: "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/03/03 08:00:22 [error] 6#6: *2 open() "/public/static/bootstrap/css/bootstrap.min.css" failed (2: No such file or directory), client: 172.24.0.1, server: 127.0.0.1, request: "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/03/03 08:03:54 [error] 6#6: *8 open() "/public/static/bootstrap/css/bootstrap.min.css" failed (2: No such file or directory), client: 172.24.0.1, server: 127.0.0.1, request: "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/03/03 08:12:59 [error] 6#6: *17 open() "/public/static/bootstrap/css/bootstrap.min.css" failed (2: No such file or directory), client: 172.24.0.1, server: 127.0.0.1, request: "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/03/03 08:13:39 [error] 6#6: *17 open() "/public/static/bootstrap/css/bootstrap.min.css" failed (2: No such file or directory), client: 172.24.0.1, server: 127.0.0.1, request: "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/03/03 08:13:42 [error] 6#6: *17 open() "/public/static/bootstrap/css/bootstrap.min.css" failed (2: No such file or directory), client: 172.24.0.1, server: 127.0.0.1, request: "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1", host: "localhost:8000"
2019/03/03 08:46:41 [error] 6#6: *15 open() "/public/static/base.css" failed (2: No such file or directory), client: 172.24.0.1, server: 127.0.0.1, request: "GET /static/base.css HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
